Archivo;Categoria;Resultado;Razon
remove-serviceaccount-token.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
replace-image-registry.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
replace-image-registry-with-harbor.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
replace-ingress-hosts.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\require-annotations\require-annotations.yaml;other;ACEPTADA;Semántica Correcta
require-base-image.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\require-container-port-names\require-container-port-names.yaml;other;ACEPTADA;Semántica Correcta
other\require-cpu-limits\require-cpu-limits.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_spec_initContainers_resources_limits_cpu', 'io_k8s_api_core_v1_Pod_spec_ephemeralContainers_resources_limits_cpu', 'io_k8s_api_core_v1_Pod_spec_containers_resources_limits_cpu']
other\require-deployments-have-multiple-replicas\require-deployments-have-multiple-replicas.yaml;other;ACEPTADA;Semántica Correcta
require-emptydir-requests-limits.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\require-image-checksum\require-image-checksum.yaml;other;ACEPTADA;Semántica Correcta
require-image-source.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\require-imagepullsecrets\require-imagepullsecrets.yaml;other;ACEPTADA;Semántica Correcta
other\require-ingress-https\require-ingress-https.yaml;other;ACEPTADA;Semántica Correcta
require-netpol.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\require-non-root-groups\require-non-root-groups.yaml;other;ACEPTADA;Semántica Correcta
require-pdb.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\require-pod-priorityclassname\require-pod-priorityclassname.yaml;other;ACEPTADA;Semántica Correcta
require-qos-burstable.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-qos-guaranteed.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifact-hub.yml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-reasonable-pdbs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifact-hub.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-replicas-allow-disruption.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\require-storageclass\require-storageclass.yaml;other;ACEPTADA;Semántica Correcta
require-unique-external-dns.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-unique-service-selector.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-unique-uid-per-workload.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-vulnerability-scan.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
resolve-image-to-digest.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
resource-creation-updating-denied.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restart-deployment-on-secret-change.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\restrict-annotations\restrict-annotations.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-automount-sa-token\restrict-automount-sa-token.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-binding-clusteradmin\restrict-binding-clusteradmin.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-binding-system-groups\restrict-binding-system-groups.yaml;other;ACEPTADA;Semántica Correcta
artifacthub-pkg.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-clusterrole-csr.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-clusterrole-mutating-validating-admission-webhooks.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-clusterrole-nodesproxy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\restrict-controlplane-scheduling\restrict-controlplane-scheduling.yaml;other;ACEPTADA;Semántica Correcta
restrict-deprecated-registry.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-edit-for-endpoints.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-escalation-verbs-roles.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\restrict-ingress-classes\restrict-ingress-classes.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-ingress-defaultbackend\restrict-ingress-defaultbackend.yaml;other;ACEPTADA;Semántica Correcta
restrict-ingress-host.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-ingress-wildcard.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\restrict-jobs\restrict-jobs.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-loadbalancer\restrict-loadbalancer.yaml;other;ACEPTADA;Semántica Correcta
restrict-networkpolicy-empty-podselector.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\restrict-node-affinity\restrict-node-affinity.yaml;other;ACEPTADA;Semántica Correcta
other\restrict-node-label-changes\restrict-node-label-changes.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Node__request_oldObject_metadata_labels_foo', 'io_k8s_api_core_v1_Node__request_operation_']
other\restrict-node-label-creation\restrict-node-label-creation.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Node_request_operation_', 'io_k8s_api_core_v1_Node_request_object_metadata_labels_foo']
other\restrict-node-selection\restrict-node-selection.yaml;other;ACEPTADA;Semántica Correcta
restrict-pod-controller-serviceaccount-updates.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
restrict-pod-count-per-node.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifacthub-pkg.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
